Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
,,,,,0JDB91FH400201,VCI N/A,Asset N/A
,,,,,0JDB91FH400207,VCI N/A,Asset N/A
,,,,,0JDB91FH400215,VCI N/A,Asset N/A
,,,,,0JDB91FH400216,VCI N/A,Asset N/A
,,,,,0JDB91FH400219,VCI N/A,Asset N/A
,,,,,0JDB91FH400223,VCI N/A,Asset N/A
,,,,,0JDB91FH400228,VCI N/A,Asset N/A
,,,,,0JDB91FH400229,VCI N/A,Asset N/A
,,,,,0JDB91FH400237,VCI N/A,Asset N/A
,,,,,0JDB91FH400239,VCI N/A,Asset N/A
,,,,,0JDB91FH400241,VCI N/A,Asset N/A
,,,,,0JDB91FH400243,VCI N/A,Asset N/A
,,,,,0JDB91FH400245,VCI N/A,Asset N/A
,,,,,0JDB91FH400246,VCI N/A,Asset N/A
,,,,,0JDB91FH400247,VCI N/A,Asset N/A
,,,,,0JDB91FH400249,VCI N/A,Asset N/A
,,,,,0JDB91FH400253,VCI N/A,Asset N/A
,,,,,0JDB91FH400259,VCI N/A,Asset N/A
,,,,,0JDB91FH400260,VCI N/A,Asset N/A
,,,,,0JDB91FH400269,VCI N/A,Asset N/A
,,,,,0JDB91FH400271,VCI N/A,Asset N/A
,,,,,0JDB91FH400275,VCI N/A,Asset N/A
,,,,,0JDB91FH400281,VCI N/A,Asset N/A
,,,,,0JDB91FH400286,VCI N/A,Asset N/A
,,,,,0JDB91FH400297,VCI N/A,Asset N/A
,,,,,0JDB91FH400301,VCI N/A,Asset N/A
,,,,,0JDB91FH400304,VCI N/A,Asset N/A
,,,,,0JDB91FH400337,VCI N/A,Asset N/A
,,,,,0JDB91FH400355,VCI N/A,Asset N/A
,,,,,0JDB91FH400360,VCI N/A,Asset N/A
,,,,,0JDB91FH400381,VCI N/A,Asset N/A
,,,,,0JDB91FH400411,VCI N/A,Asset N/A
,,,,,0JDB91FH400461,VCI N/A,Asset N/A
,,,,,0JDB91FH400474,VCI N/A,Asset N/A
,,,,,0JDB91FH400490,VCI N/A,Asset N/A
Offsite,V1704C3829,Chromebook,Acer,C738T,NXG55AA0056420DE2F7600,V1704C3829,Asset N/A
Offsite,V1704C3827,Chromebook,Acer,C738T,NXG55AA0056420E02A7600,V1704C3827,Asset N/A
Offsite,V1704C3831,Chromebook,Acer,C738T,NXG55AA0056420E0337600,V1704C3831,Asset N/A
Offsite,#N/A,Chromebook,Acer,C738T,NXG55AA0056420E0367600,V1704C3832,Asset N/A
Offsite,V1704C3830,Chromebook,Acer,C738T,NXG55AA0056420E0507600,V1704C3830,Asset N/A
Offsite,V1807C11245,Chromebook,Acer,C738T,NXG55AA0106501AF4C7600,V1807C11245,Asset N/A
Offsite,V1807C11345,Chromebook,Acer,C738T,NXG55AA0106501B3EB7600,V1807C11345,Asset N/A
Offsite,V1807C11356,Chromebook,Acer,C738T,NXG55AA0106501B6117600,V1807C11356,Asset N/A
Offsite,V1807C11352,Chromebook,Acer,C738T,NXG55AA0106501B6307600,V1807C11352,Asset N/A
Offsite,V1807C11373,Chromebook,Acer,C738T,NXG55AA0106501B6617600,V1807C11373,Asset N/A
Offsite,V1807C12076,Chromebook,Acer,C738T,NXG55AA0106501B66F7600,V1807C12076,Asset N/A
Offsite,V1807C12234,Chromebook,Acer,C738T,NXG55AA0106501C97B7600,V1807C12234,Asset N/A
Offsite,V1807C12262,Chromebook,Acer,C738T,NXG55AA0106501CB787600,V1807C12262,Asset N/A
Offsite,V1807C11329,Chromebook,Acer,C738T,NXG55AA0106501CB7A7600,V1807C11329,Asset N/A
Offsite,V1807C11357,Chromebook,Acer,C738T,NXG55AA0106501CB7B7600,V1807C11357,Asset N/A
Offsite,V1807C11363,Chromebook,Acer,C738T,NXG55AA0106501CB8B7600,V1807C11363,Asset N/A
Offsite,V1807C11328,Chromebook,Acer,C738T,NXG55AA0106501CB997600,V1807C11328,Asset N/A
Offsite,V1807C11330,Chromebook,Acer,C738T,NXG55AA0106501CB9C7600,V1807C11330,Asset N/A
Offsite,V1807C11347,Chromebook,Acer,C738T,NXG55AA0106501CBA57600,V1807C11347,Asset N/A
Offsite,V1807C11332,Chromebook,Acer,C738T,NXG55AA0106501CBAE7600,V1807C11332,Asset N/A
Offsite,V1807C11279,Chromebook,Acer,C738T,NXG55AA0106501CBB57600,V1807C11279,Asset N/A
Offsite,V1807C11360,Chromebook,Acer,C738T,NXG55AA0106501CBB77600,V1807C11360,Asset N/A
Offsite,V1807C11361,Chromebook,Acer,C738T,NXG55AA0106501CBB87600,V1807C11361,Asset N/A
Offsite,V1807C11284,Chromebook,Acer,C738T,NXG55AA0106501CBB97600,V1807C11284,Asset N/A
Offsite,V1807C12026,Chromebook,Acer,C738T,NXG55AA0106501CBBC7600,V1807C12026,Asset N/A
Offsite,V1807C11372,Chromebook,Acer,C738T,NXG55AA0106501CBBF7600,V1807C11372,Asset N/A
Offsite,V1807C11281,Chromebook,Acer,C738T,NXG55AA0106501CBC07600,V1807C11281,Asset N/A
Offsite,V1807C11280,Chromebook,Acer,C738T,NXG55AA0106501CBC27600,V1807C11280,Asset N/A
Offsite,V1807C11305,Chromebook,Acer,C738T,NXG55AA0106501CBCA7600,V1807C11305,Asset N/A
Offsite,V1807C11367,Chromebook,Acer,C738T,NXG55AA0106501CBFF7600,V1807C11367,Asset N/A
Offsite,V1807C12295,Chromebook,Acer,C738T,NXG55AA0106501CC077600,V1807C12295,Asset N/A
Offsite,V1807C11364,Chromebook,Acer,C738T,NXG55AA0106501CC087600,V1807C11364,Asset N/A
Offsite,V1807C11348,Chromebook,Acer,C738T,NXG55AA0106501CC0B7600,V1807C11348,Asset N/A
Offsite,V1807C11327,Chromebook,Acer,C738T,NXG55AA0106501CC237600,V1807C11327,Asset N/A
Offsite,V1807C12232,Chromebook,Acer,C738T,NXG55AA0106501CC287600,V1807C12232,Asset N/A
Offsite,V1807C11263,Chromebook,Acer,C738T,NXG55AA010650246A97600,V1807C11263,Asset N/A
Offsite,V1807C12136,Chromebook,Acer,C738T,NXG55AA010650246AC7600,V1807C12136,Asset N/A
Offsite,V1807C12296,Chromebook,Acer,C738T,NXG55AA010650246AF7600,V1807C12296,Asset N/A
Offsite,V1807C12141,Chromebook,Acer,C738T,NXG55AA010650246B07600,V1807C12141,Asset N/A
Offsite,V1807C11247,Chromebook,Acer,C738T,NXG55AA010650246B17600,V1807C11247,Asset N/A
Offsite,V1807C11276,Chromebook,Acer,C738T,NXG55AA010650246B77600,V1807C11276,Asset N/A
Offsite,V1807C12294,Chromebook,Acer,C738T,NXG55AA010650246B97600,V1807C12294,Asset N/A
Offsite,V1807C12189,Chromebook,Acer,C738T,NXG55AA010650246BA7600,V1807C12189,Asset N/A
Offsite,V1807C12730,Chromebook,Acer,C738T,NXG55AA010650246BB7600,V1807C12730,Asset N/A
Offsite,V1807C11333,Chromebook,Acer,C738T,NXG55AA010650246BC7600,V1807C11333,Asset N/A
Offsite,V1807C11264,Chromebook,Acer,C738T,NXG55AA010650246BF7600,V1807C11264,Asset N/A
Offsite,V1807C11331,Chromebook,Acer,C738T,NXG55AA010650246C07600,V1807C11331,Asset N/A
Offsite,V1807C11321,Chromebook,Acer,C738T,NXG55AA010650246C17600,V1807C11321,Asset N/A
Offsite,V1807C11290,Chromebook,Acer,C738T,NXG55AA010650246C27600,V1807C11290,Asset N/A
Offsite,V1807C11291,Chromebook,Acer,C738T,NXG55AA010650246C37600,V1807C11291,Asset N/A
Offsite,V1807C11249,Chromebook,Acer,C738T,NXG55AA010650246C47600,V1807C11249,Asset N/A
Offsite,V1807C12140,Chromebook,Acer,C738T,NXG55AA010650246C57600,V1807C12140,Asset N/A
Offsite,V1807C11274,Chromebook,Acer,C738T,NXG55AA010650246C67600,V1807C11274,Asset N/A
Offsite,V1807C11282,Chromebook,Acer,C738T,NXG55AA010650246C77600,V1807C11282,Asset N/A
Offsite,V1807C11374,Chromebook,Acer,C738T,NXG55AA010650246C97600,V1807C11374,Asset N/A
Offsite,V1807C11365,Chromebook,Acer,C738T,NXG55AA010650246CC7600,V1807C11365,Asset N/A
Offsite,V1807C11283,Chromebook,Acer,C738T,NXG55AA010650246CD7600,V1807C11283,Asset N/A
Offsite,V1807C11262,Chromebook,Acer,C738T,NXG55AA010650246CE7600,V1807C11262,Asset N/A
Offsite,V1807C11250,Chromebook,Acer,C738T,NXG55AA010650246CF7600,V1807C11250,Asset N/A
Offsite,V1807C11248,Chromebook,Acer,C738T,NXG55AA010650246D07600,V1807C11248,Asset N/A
Offsite,V1807C11246,Chromebook,Acer,C738T,NXG55AA010650246D17600,V1807C11246,Asset N/A
Offsite,V1807C11275,Chromebook,Acer,C738T,NXG55AA010650246D27600,V1807C11275,Asset N/A
Offsite,V1807C12078,Chromebook,Acer,C738T,NXG55AA010650246D37600,V1807C12078,Asset N/A
Offsite,V1807C12230,Chromebook,Acer,C738T,NXG55AA010650246D47600,V1807C12230,Asset N/A
Offsite,V1807C12291,Chromebook,Acer,C738T,NXG55AA010650246D57600,V1807C12291,Asset N/A
Offsite,V1807C12247,Chromebook,Acer,C738T,NXG55AA010650246D67600,V1807C12247,Asset N/A
Offsite,V1807C12261,Chromebook,Acer,C738T,NXG55AA010650246D87600,V1807C12261,Asset N/A
Offsite,V1807C11277,Chromebook,Acer,C738T,NXG55AA010650246D97600,V1807C11277,Asset N/A
Offsite,V1807C11278,Chromebook,Acer,C738T,NXG55AA010650246DC7600,V1807C11278,Asset N/A
Offsite,V1807C12137,Chromebook,Acer,C738T,NXG55AA010650246DD7600,V1807C12137,Asset N/A
Offsite,V1807C12138,Chromebook,Acer,C738T,NXG55AA010650246DF7600,V1807C12138,Asset N/A
Offsite,V1807C12233,Chromebook,Acer,C738T,NXG55AA010650246E17600,V1807C12233,Asset N/A
Offsite,V1807C12231,Chromebook,Acer,C738T,NXG55AA010650246E27600,V1807C12231,Asset N/A
Offsite,V1807C12077,Chromebook,Acer,C738T,NXG55AA010650246E37600,V1807C12077,Asset N/A
Offsite,V1807C12263,Chromebook,Acer,C738T,NXG55AA010650246E47600,V1807C12263,Asset N/A
Offsite,V1807C12264,Chromebook,Acer,C738T,NXG55AA010650246E57600,V1807C12264,Asset N/A
Offsite,V1807C12265,Chromebook,Acer,C738T,NXG55AA010650246E77600,V1807C12265,Asset N/A
Offsite,V1807C12260,Chromebook,Acer,C738T,NXG55AA010650246E97600,V1807C12260,Asset N/A
Offsite,V1807C12218,Chromebook,Acer,C738T,NXG55AA010650246EB7600,V1807C12218,Asset N/A
